paper,T,passing,clears_field_clause,hc2,top,span,hc2_over_top,deposited_ratio,recomputed_ratio,gate_floor,reproduced
springer_10.1007_s10854-026-16566-9,10.0,True,True,9.2,5.0,4.5,1.8399999999999999,0.4891304347826087,0.48913043478260876,0.25,True
springer_10.1038_s41598-022-24044-5,10.0,False,True,18.0,17.914260027444357,17.89519768728298,1.0047861297326426,0.9445885260935496,0.9941776492934989,0.3411910669975189,False
springer_10.1038_s41598-022-24044-5,12.0,False,True,18.0,10.994143850818034,10.977312210037244,1.6372352630860552,0.6098506783354024,0.6098506783354024,0.42103250478011506,True
springer_10.1038_s41598-022-24044-5,4.0,False,True,18.0,17.928090363603992,17.860844916821947,1.0040110036784504,0.9412852884249232,0.9922691620456637,0.3748866727107877,False
springer_10.1038_s41598-022-24044-5,6.0,False,True,18.0,17.948653356075948,17.949748426680962,1.0028607518851362,0.9437458174386611,0.9972082459267201,0.6061493411420206,False
springer_10.1038_s41598-022-24044-5,8.0,False,True,18.0,17.94593595864869,17.925535198858963,1.003012606390432,0.9448972188361155,0.9958630666032757,0.37909695163877893,False
springer_10.1038_s41598-025-95932-9,45.0,False,False,100.0,1.0,0.9,100.0,0.009,0.009000000000000001,0.33333333333333337,True
springer_10.1038_s41598-025-95932-9,50.0,False,False,100.0,1.0,0.9,100.0,0.009,0.009000000000000001,0.33333333333333337,True
springer_10.1038_s41598-025-95932-9,55.0,False,False,100.0,1.0,0.9,100.0,0.009,0.009000000000000001,0.33333333333333337,True
springer_10.1038_s41598-025-95932-9,60.0,False,False,100.0,1.0,0.9,100.0,0.009,0.009000000000000001,0.33333333333333337,True
springer_10.1038_s41598-025-95932-9,65.0,False,False,100.0,1.0,0.9,100.0,0.009,0.009000000000000001,0.33333333333333337,True
springer_10.1038_s41598-025-95932-9,70.0,False,False,100.0,1.0,0.9,100.0,0.009,0.009000000000000001,0.33333333333333337,True
