compound_formula,substructure,Tc_anchor_K,Hc2_T_anchor,T_K,H_T,withheld_reduced_field,refusal_flag,withheld_log_Jc,withheld_log_Jc_lower_95,withheld_log_Jc_upper_95
Fe1Se0.94,iron_chalcogenide_11,8.545,16.0,4.2,5.0,0.3125,family_field_axis_unvalidated,5.771923410007387,5.665413914623919,5.898304846472484
Fe1Se0.94,iron_chalcogenide_11,8.545,16.0,6.57965,0.1,0.00625,H_below_validated_reduced_field,5.830608635960312,5.734618593793223,5.9714268499673855
Fe1Se0.94,iron_chalcogenide_11,8.545,16.0,6.57965,1.0,0.0625,H_below_validated_reduced_field,5.796549739244956,5.7018733706759415,5.935282362517714
Fe1Se0.94,iron_chalcogenide_11,8.545,16.0,6.57965,5.0,0.3125,family_field_axis_unvalidated,5.6175295631822735,5.522885523918245,5.750485483209595
Fe1Se0.98,iron_chalcogenide_11,8.105,16.0,4.2,0.1,0.00625,H_below_validated_reduced_field,5.996159972950191,5.877146982269887,6.121613313756543
Fe1Se0.98,iron_chalcogenide_11,8.105,16.0,4.2,1.0,0.0625,H_below_validated_reduced_field,5.960695330350417,5.843659858350076,6.085458118849194
Fe1Se0.98,iron_chalcogenide_11,8.105,16.0,4.2,5.0,0.3125,family_field_axis_unvalidated,5.7694682668345525,5.665413914623919,5.89737675081374
Fe1Se0.98,iron_chalcogenide_11,8.105,16.0,6.240850000000001,0.1,0.00625,H_below_validated_reduced_field,5.841075553965226,5.75222558391479,5.966892304062863
Fe1Se0.98,iron_chalcogenide_11,8.105,16.0,6.240850000000001,1.0,0.0625,H_below_validated_reduced_field,5.807140276805457,5.716760941315016,5.93682887717172
Fe1Se0.98,iron_chalcogenide_11,8.105,16.0,6.240850000000001,5.0,0.3125,family_field_axis_unvalidated,5.627302288610518,5.5320341581947,5.75500301728918
Fe1Se0.99,iron_chalcogenide_11,6.99,16.0,4.2,0.1,0.00625,H_below_validated_reduced_field,5.996159972950191,5.877146982269887,6.121613313756543
Fe1Se0.99,iron_chalcogenide_11,6.99,16.0,4.2,1.0,0.0625,H_below_validated_reduced_field,5.96084211542598,5.84365985511429,6.086148671156769
Fe1Se0.99,iron_chalcogenide_11,6.99,16.0,4.2,5.0,0.3125,family_field_axis_unvalidated,5.771923410007387,5.665413894164623,5.898304846472484
Fe1Se0.99,iron_chalcogenide_11,6.99,16.0,5.3823,0.1,0.00625,H_below_validated_reduced_field,5.880549761320104,5.7781158006919,6.006003102126456
Fe1Se0.99,iron_chalcogenide_11,6.99,16.0,5.3823,1.0,0.0625,H_below_validated_reduced_field,5.846490864604748,5.74343884927868,5.9719442054111
Fe1Se0.99,iron_chalcogenide_11,6.99,16.0,5.3823,5.0,0.3125,family_field_axis_unvalidated,5.6651588005775295,5.562767517904723,5.793979331072006
Fe1Te1,iron_chalcogenide_11,1.5,47.0,1.155,0.1,0.002127659574468085,H_below_validated_reduced_field,9.496827252954535,8.87122619544403,10.289303426353197
Fe1Te1,iron_chalcogenide_11,1.5,47.0,1.155,1.0,0.02127659574468085,H_below_validated_reduced_field,9.485540850494706,8.860090653769507,10.277559107096115
Fe1Te1,iron_chalcogenide_11,1.5,47.0,1.155,5.0,0.10638297872340426,H_below_validated_reduced_field,9.4321765893952,8.807809200126586,10.22450792653425
As2Ba0.1Fe2K0.9,iron_pnictide_122,6.93,60.0,4.2,0.1,0.0016666666666666668,H_below_validated_reduced_field,5.746354490991693,5.635326719245767,5.804297695181981
As2Ba0.1Fe2K0.9,iron_pnictide_122,6.93,60.0,4.2,1.0,0.016666666666666666,H_below_validated_reduced_field,5.74198049185465,5.629967108186695,5.802154203557051
